NumMajorMergersLast250Myr,NumMajorMergersLast500Myr,NumMajorMergersLastGyr,NumMajorMergersSinceRedshiftOne,NumMajorMergersSinceRedshiftTwo,NumMajorMergersTotal,NumMergersLast250Myr,NumMergersLast500Myr,NumMergersLastGyr,NumMergersSinceRedshiftOne,NumMergersSinceRedshiftTwo,NumMergersTotal,NumMinorMergersLast250Myr,NumMinorMergersLast500Myr,NumMinorMergersLastGyr,NumMinorMergersSinceRedshiftOne,NumMinorMergersSinceRedshiftTwo,NumMinorMergersTotal,SnapNumLastMajorMerger,SnapNumLastMerger,SnapNumLastMinorMerger,SnapNumNextMajorMerger,SnapNumNextMerger,SnapNumNextMinorMerger,Illustris_ID,P_Late,Sigma_Late,P_S0,Sigma_S0,P_Sab,Sigma_Sab
0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,1.0,8.0,36.0,0.0,0.0,0.0,0.0,0.0,5.0,46.0,55.0,29.0,-1.0,-1.0,-1.0,30,0.3908321261405945,0.02294713817536831,0.5990878939628601,0.04222479835152626,0.11447206139564514,0.05411108210682869
0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,9.0,65.0,0.0,0.0,0.0,0.0,0.0,1.0,41.0,50.0,23.0,-1.0,-1.0,-1.0,31,0.033275455236434937,0.059353359043598175,0.5010560750961304,0.07107725739479065,0.5137330293655396,0.05174432322382927
0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,11.0,16.0,34.0,0.0,0.0,0.0,1.0,1.0,5.0,15.0,89.0,72.0,-1.0,-1.0,-1.0,32,0.3021278381347656,0.025745220482349396,0.6736392378807068,0.056040167808532715,0.06532344222068787,0.04948221892118454
0.0,0.0,0.0,2.0,4.0,10.0,0.0,0.0,0.0,6.0,20.0,31.0,0.0,0.0,0.0,0.0,1.0,2.0,75.0,93.0,34.0,-1.0,-1.0,-1.0,33,0.20727568864822388,0.04439738020300865,0.15819737315177917,0.08868396282196045,0.2689725160598755,0.06266525387763977
0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,21.0,69.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,57.0,14.0,-1.0,-1.0,-1.0,34,0.20951363444328308,0.053326528519392014,0.13235220313072205,0.08245747536420822,0.08438342809677124,0.04598930850625038
0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,12.0,42.0,0.0,0.0,0.0,0.0,0.0,5.0,18.0,84.0,25.0,-1.0,-1.0,-1.0,35,0.48837000131607056,0.010550831444561481,0.8627320528030396,0.035993583500385284,0.11088365316390991,0.05503402277827263
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,8.0,17.0,0.0,0.0,0.0,0.0,0.0,2.0,18.0,65.0,27.0,-1.0,-1.0,-1.0,36,0.5484868288040161,0.05571601167321205,0.39180871844291687,0.06097240000963211,0.2672801613807678,0.009880649857223034
0.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,1.0,4.0,8.0,14.0,0.0,0.0,0.0,0.0,2.0,3.0,45.0,99.0,48.0,-1.0,-1.0,-1.0,37,0.7438371181488037,0.04984557628631592,0.9558581113815308,0.006841806694865227,0.7900749444961548,0.04796137288212776
0.0,1.0,1.0,2.0,2.0,5.0,0.0,1.0,1.0,5.0,11.0,16.0,0.0,0.0,0.0,0.0,0.0,1.0,96.0,96.0,28.0,-1.0,-1.0,-1.0,38,0.5641111731529236,0.037171345204114914,0.7288551926612854,0.025121908634901047,0.4127332866191864,0.031638260930776596
0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,10.0,24.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,88.0,29.0,-1.0,-1.0,-1.0,39,0.5072399973869324,0.034118637442588806,0.6460188627243042,0.06167569011449814,0.11100995540618896,0.05357544496655464
0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,16.0,54.0,0.0,0.0,0.0,0.0,0.0,4.0,17.0,43.0,18.0,-1.0,-1.0,-1.0,40,0.20317521691322327,0.054246798157691956,0.6387010812759399,0.07111460715532303,0.09285804629325867,0.05210557207465172
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,14.0,21.0,0.0,0.0,0.0,1.0,1.0,3.0,8.0,73.0,54.0,-1.0,-1.0,-1.0,41,0.9626874923706055,0.026932718232274055,0.9328813552856445,0.008190331980586052,0.8656625747680664,0.09536154568195343
0.0,0.0,0.0,2.0,2.0,4.0,0.0,0.0,0.0,4.0,7.0,12.0,0.0,0.0,0.0,1.0,2.0,4.0,76.0,79.0,79.0,-1.0,-1.0,-1.0,42,0.9720306992530823,0.028281208127737045,0.9479712247848511,0.02158164046704769,0.9512687921524048,0.07433175295591354
0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,8.0,23.0,0.0,0.0,0.0,0.0,0.0,1.0,17.0,93.0,15.0,-1.0,-1.0,-1.0,43,0.5752605199813843,0.056486766785383224,0.9597238302230835,0.02498670108616352,0.6402259469032288,0.1093338280916214
0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,7.0,14.0,32.0,0.0,0.0,0.0,1.0,1.0,5.0,19.0,78.0,62.0,-1.0,-1.0,-1.0,44,0.42218759655952454,0.04056531935930252,0.6110241413116455,0.06859713047742844,0.10715389251708984,0.055608827620744705
0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,62.0,0.0,0.0,0.0,0.0,1.0,7.0,9.0,35.0,35.0,-1.0,-1.0,-1.0,45,0.13451814651489258,0.11841102689504623,0.5338003039360046,0.08160329610109329,0.579167366027832,0.09267102926969528
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,9.0,29.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,57.0,15.0,-1.0,-1.0,-1.0,46,0.8338280916213989,0.027411676943302155,0.6375089287757874,0.06735420972108841,0.7606343030929565,0.09084673970937729
